date,open,high,low,close,volume
13-07-2016,105.3702,105.5741,104.0077,105.5277,781733
14-07-2016,106.5843,106.9458,105.7038,106.7697,827093
15-07-2016,107.3258,107.7521,106.4731,107.1775,1466467
18-07-2016,107.5111,108.4009,107.5111,108.3082,743658
19-07-2016,107.6316,108.1228,107.1219,108.0487,818598
20-07-2016,108.8087,109.0682,108.2155,108.5399,875966
21-07-2016,108.2989,108.9662,107.7984,108.2804,894897
22-07-2016,108.3638,108.7531,104.7863,108.7252,704021
25-07-2016,108.6789,108.9292,107.8448,108.5862,599670
26-07-2016,108.0672,109.0126,107.6965,108.9477,786675
27-07-2016,109.4852,109.4852,108.0023,108.8272,843867
28-07-2016,109.3648,113.2852,108.9106,112.5159,1622666
29-07-2016,112.4881,113.7301,112.4696,113.2574,1305696
01-08-2016,113.2667,113.7672,111.9691,112.3491,727370
02-08-2016,112.1174,112.1916,110.4306,111.3203,1030968
03-08-2016,111.2369,111.6911,110.755,111.6911,755288
04-08-2016,111.2647,111.9599,110.7179,110.8662,434573
05-08-2016,111.9599,112.5808,111.5984,112.0525,908087
08-08-2016,111.9506,112.1452,111.1443,111.3667,677078
09-08-2016,111.6262,112.0989,111.3574,111.756,581985
10-08-2016,111.793,112.1267,110.6067,111.0608,600643
11-08-2016,111.3296,111.8579,111.0423,111.5984,741843
12-08-2016,111.4038,111.9877,110.9218,111.135,540405
15-08-2016,111.5521,111.7699,110.4955,111.4594,863369
16-08-2016,111.3296,111.4501,110.8384,110.8847,674536
17-08-2016,111.4038,111.6355,110.375,111.3111,828079
18-08-2016,111.4964,111.515,110.3194,111.2462,680439
19-08-2016,110.8384,111.9135,110.2916,111.4964,782558
22-08-2016,111.4872,111.8023,111.0608,111.4964,379627
23-08-2016,112.1452,113.0442,111.8208,112.3955,817856
24-08-2016,112.3861,113.1948,112.1444,112.4233,697568
25-08-2016,112.1072,112.8137,112.1072,112.5627,488257
26-08-2016,113.0275,113.9199,112.4697,113.0089,1266075
29-08-2016,113.2041,114.1988,113.0368,113.9664,1080689
30-08-2016,114.0593,114.3103,113.5109,114.3103,785095
31-08-2016,114.2081,115.779,113.7712,114.8402,1324211
01-09-2016,114.8216,115.6489,114.0081,115.212,811510
02-09-2016,115.7883,116.7086,115.6489,116.5971,706806
06-09-2016,116.7737,117.1269,115.9371,116.9317,1021656
07-09-2016,116.783,117.034,116.1323,116.8388,792448
08-09-2016,116.6807,117.6102,116.625,116.8759,774930
09-09-2016,116.1509,116.6993,113.6131,113.6131,1002357
12-09-2016,112.7486,115.6861,112.4326,115.4909,974297
13-09-2016,114.4126,114.7565,112.9531,113.5202,935179
14-09-2016,113.3807,114.2545,112.572,112.9624,757598
15-09-2016,112.8323,115.9557,112.8323,115.37,885286
16-09-2016,114.8123,115.1562,113.6596,114.5892,1145346
19-09-2016,114.9982,116.8481,114.9982,115.8999,950722
20-09-2016,116.7086,117.0897,115.9464,115.9928,877183
21-09-2016,116.8481,118.7537,116.5971,118.5771,964386
22-09-2016,118.8931,119.3579,117.6475,117.8985,1155060
23-09-2016,117.4895,117.8892,116.1788,116.1788,927869
